3 month bad;6 month bad;1 year bad;3 month good;6 month good;1 year good
0,913793103;0,827586207;0,913793103;0,945945946;0,864864865;0,945945946
0,936965812;;;0,863636364;0,863636364;0,863636364
1;;1;0,990366089;1,010597303;1,1522158
0,8;0,607894737;0,434210526;1,228571429;1,228571429;1,228571429
1;0,955555556;1,311111111;0,834558824;0,746323529;0,713235294
1,029411765;1,191176471;1,308823529;1;;1
0,71686747;0,704819277;;0,667876588;0,671506352;
;;0,878088578;0,822222222;0,6;0,711111111
0,946058091;0,915629322;0,742738589;0,963060686;0,976253298;
1,113207547;1,566037736;1,301886792;0,816441441;0,802927928;0,648648649
1,13107511;1,141384389;;1,320241692;1,418429003;
0,957331265;0,839410396;0,697439876;1,272493573;1,035989717;1,884318766
;0,757575758;0,640151515;0,949547219;0,727037516;0,673997413
0,920634921;0,968253968;1,095238095;1,006153846;0,984615385;0,909230769
0,918032787;0,950819672;1;0,94720169;1,09186906;1,101372756
0,796153846;;;0,795127353;0,739756368;0,776301218
0,661538462;;0,630769231;0,824362606;0,84230406;0,792256846
0,915057915;0,837837838;1,023166023;0,77994012;0,799401198;0,721556886
0,860465116;0,813953488;1,046511628;0,69047619;0,642857143;0,761904762
0,947368421;1,087719298;1,192982456;0,69740634;;
0,659468439;0,672757475;0,699335548;;;1,58
;;0,801912568;0,954070981;0,971816284;0,957202505
1,013613861;0,784653465;0,678217822;0,864864865;0,864864865;0,945945946
1,358490566;1,41509434;1,301886792;1;1;1,090909091
1,327472527;1,279120879;1,147252747;1,011969532;1,063112078;1,13601741
1,070955535;1,034058657;0,756859035;1,275;1,275;1,4
;0,832326284;0,806646526;0,855820106;0,757936508;0,705026455
0,85915493;0,816901408;0,971830986;1,142857143;;1,371428571
0,786885246;0,786885246;0,868852459;0,663265306;0,647959184;0,571428571
1,024919614;;;1;0,96;0,9
1,140350877;;1,719298246;0,842337376;0,800441014;0,770672547
1,288888889;1,282539683;1,346031746;0,6910299;0,751937984;0,631229236
0,822222222;0,711111111;0,955555556;1,196694215;1,360330579;1,596694215
0,942307692;1,038461538;1,192307692;1,293413174;1,229041916;1,164670659
0,767045455;0,8125;0,795454545;0,885390428;0,646095718;0,560453401
;;0,883693046;0,998394864;0,945425361;0,881219904
0,884337349;0,746987952;0,61686747;1,139130435;1,230434783;1,136956522
1,31372549;1,411764706;1,882352941;0,951306413;0,91567696;0,93824228
1,30020284;1,194726166;1,044624746;0,801813472;0,813471503;0,760362694
1,085812357;1,138443936;1,013729977;0,809815951;0,800613497;0,746932515
;0,770131772;0,648609078;0,777777778;0,822222222;0,888888889
0,819672131;0,819672131;0,836065574;0,776290631;;0,627151052
0,803030303;0,681818182;0,757575758;;;1,547169811
1,05143339;;;1,036281179;1,057823129;1,023809524
1,092307692;;1,753846154;1;0,914285714;0,914285714
0,988826816;0,826815642;0,94972067;0,9;1;1,633333333
0,828571429;0,828571429;1,057142857;1,105968331;1,174177832;1,160779537
0,894736842;1,087719298;1,087719298;1,275;1,4;1,55
0,972577697;1,087751371;1,171846435;0,858725762;0,757617729;0,691135734
;;0,942531646;0,729166667;;0,9375
0,915562914;0,739238411;0,627483444;0,623608018;0,706013363;0,599109131
1,311111111;1,955555556;2,488888889;0,896103896;0,831168831;0,857142857
0,878623188;0,960144928;0,730072464;0,818181818;0,793226381;0,8057041
1,328534031;1,413612565;1,193717277;0,796791444;0,77540107;0,681818182
;0,817808219;0,746575342;1,286971831;1,389084507;1,688380282
0,819672131;0,606557377;0,606557377;1,608782435;1,407185629;1,558882236
0,768115942;0,724637681;0,695652174;0,90078329;0,686684073;0,524804178
1,062394604;;;1,088724584;1,044362292;0,870609982
1,039473684;;1,855263158;1,216097023;1,228224917;1,200661521
1,05027933;0,893854749;0,932960894;1,252365931;1,365930599;1,681388013
1,2;1,125;1,475;0,742331288;0,742331288;0,67607362
1,203703704;1,296296296;1,296296296;0,820205479;0,789383562;0,753424658
0,665116279;0,702325581;0,760465116;0,822222222;0,777777778;0,822222222
;;0,825257732;0,818584071;;0,761061947
0,787344398;0,794605809;0,669087137;;;1,698113208
1,422222222;2,2;2,555555556;1,156692057;1,140369967;1,089227421
1,357740586;1,543933054;1,280334728;1;1,206896552;0,931034483
1,036187114;1,236540159;1;1;1;1
;0,860495437;0,784876141;1,052173913;1,147826087;1,115942029
0,775862069;0,724137931;0,689655172;1,162162162;1,297297297;1,459459459
0,727272727;0,727272727;0,803030303;0,804265997;0,715181932;0,666248432
1,130268199;;;0,914285714;;1
1,144736842;;1,75;0,760869565;0,75;0,70923913
1,005434783;0,902173913;0,918478261;1;0,86;0,86
1,103448276;1,275862069;1,275862069;0,703703704;0,634259259;0,680555556
